#PDB,type,RMSD
1DQJ,harm,2.2263236045837402
1DQJ,harm_025,2.159231424331665
1DQJ,unconst,3.523789882659912
1DQJ,crtsc,3.3096227645874023
1DQJ,clean,2.1323659420013428
1MHP,harm,1.0522136688232422
1MHP,harm_025,0.9888699054718018
1MHP,unconst,1.5464919805526733
1MHP,crtsc,1.4216402769088745
1MHP,clean,0.9836120009422302
1MLC,harm,1.0286204814910889
1MLC,harm_025,1.0117679834365845
1MLC,unconst,1.3327178955078125
1MLC,crtsc,1.3857914209365845
1MLC,clean,0.9868472814559937
1N8Z,harm,1.2819067239761353
1N8Z,harm_025,1.1174198389053345
1N8Z,unconst,2.143364667892456
1N8Z,crtsc,2.2941761016845703
1N8Z,clean,0.915805459022522
1VFB,harm,0.9965909719467163
1VFB,harm_025,0.9681748747825623
1VFB,unconst,1.375450849533081
1VFB,crtsc,1.3010706901550293
1VFB,clean,0.8482096791267395
1YY9,harm,1.177147388458252
1YY9,harm_025,2.155423164367676
1YY9,unconst,4.082225322723389
1YY9,crtsc,4.708188533782959
1YY9,clean,0.8486207127571106
3GBN,harm,1.4789148569107056
3GBN,harm_025,1.16401207447052
3GBN,unconst,3.372185468673706
3GBN,crtsc,3.1462059020996094
3GBN,clean,0.8618252277374268
4FQY,harm,1.2722669839859009
4FQY,harm_025,1.0144078731536865
4FQY,unconst,5.595457077026367
4FQY,crtsc,5.685862064361572
4FQY,clean,0.8830719590187073
