Type,Order,Mean,Std
Train,0,-6.661338147750939e-17,1.0175362097255201e-16
Train,1,0.5663851185599615,0.0027652877458883645
Train,2,0.8445442046641298,0.0031066252535337873
Train,3,0.9209264017967452,0.002803815417016385
Train,4,0.9746502927591523,0.0024208656090073796
Test,0,-0.014615955713448581,0.01765524419428852
Test,1,0.5475763411419138,0.03595112155579326
Test,2,0.8125860748971784,0.038131129277286624
Test,3,0.8438589991483715,0.04383012147252523
Test,4,0.777431711254322,0.0837757335231843
